rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.7,0.04,0.075,0.0,0.036,0.884,0.781,0.829
0.595,0.091,0.159,0.0,0.043,0.846,0.792,0.818
0.443,0.147,0.221,0.005,0.086,0.837,0.797,0.816
0.432,0.043,0.078,0.0,0.025,0.861,0.748,0.801
0.677,0.04,0.075,0.0,0.024,0.858,0.763,0.808
0.214,0.353,0.266,0.0,0.163,0.784,0.791,0.788
0.717,0.108,0.188,0.0,0.055,0.894,0.798,0.843
0.397,0.105,0.167,0.0,0.057,0.853,0.835,0.844
0.255,0.37,0.302,0.0,0.178,0.819,0.816,0.818
0.723,0.186,0.296,0.003,0.089,0.87,0.809,0.838
0.507,0.199,0.286,0.0,0.098,0.845,0.814,0.829
0.706,0.035,0.067,0.0,0.024,0.881,0.774,0.824
0.794,0.124,0.215,0.0,0.077,0.883,0.832,0.857
0.485,0.3,0.371,0.0,0.164,0.833,0.798,0.815
0.557,0.093,0.16,0.0,0.055,0.847,0.795,0.82
0.474,0.259,0.335,0.0,0.125,0.838,0.818,0.828
0.461,0.137,0.211,0.0,0.07,0.834,0.798,0.816
0.818,0.038,0.073,0.0,0.026,0.896,0.769,0.828
0.509,0.283,0.364,0.0,0.151,0.832,0.831,0.831
0.603,0.154,0.246,0.0,0.072,0.797,0.807,0.802
0.535,0.239,0.33,0.0,0.128,0.854,0.806,0.829
0.543,0.129,0.209,0.0,0.072,0.844,0.792,0.817
0.66,0.129,0.216,0.0,0.067,0.864,0.816,0.84
0.518,0.248,0.336,0.019,0.122,0.821,0.815,0.818
0.325,0.288,0.305,0.0,0.145,0.811,0.82,0.815
0.455,0.073,0.125,0.0,0.044,0.853,0.794,0.823
0.472,0.274,0.347,0.0,0.124,0.762,0.801,0.781
0.51,0.292,0.371,0.0,0.143,0.836,0.812,0.824
0.75,0.037,0.07,0.0,0.024,0.872,0.778,0.823
0.737,0.061,0.113,0.0,0.03,0.883,0.776,0.826
0.534,0.229,0.32,0.0,0.13,0.823,0.816,0.819
0.634,0.056,0.104,0.0,0.036,0.868,0.776,0.82
0.534,0.279,0.366,0.0,0.134,0.822,0.813,0.817
0.571,0.213,0.31,0.023,0.125,0.849,0.828,0.838
0.625,0.178,0.277,0.0,0.092,0.846,0.809,0.827
0.646,0.169,0.268,0.006,0.089,0.879,0.807,0.841
0.546,0.165,0.253,0.0,0.105,0.857,0.806,0.83
0.5,0.084,0.144,0.0,0.047,0.833,0.792,0.812
0.636,0.063,0.115,0.0,0.031,0.866,0.769,0.815
0.48,0.262,0.339,0.015,0.143,0.838,0.801,0.819
0.639,0.043,0.081,0.0,0.019,0.836,0.765,0.799
0.553,0.12,0.197,0.0,0.071,0.824,0.797,0.81
0.778,0.019,0.037,0.0,0.016,0.906,0.765,0.829
0.45,0.092,0.153,0.0,0.04,0.809,0.803,0.806
0.483,0.055,0.099,0.0,0.034,0.83,0.788,0.809
0.353,0.076,0.125,0.0,0.044,0.78,0.794,0.787
0.519,0.179,0.266,0.0,0.088,0.843,0.824,0.833
0.568,0.239,0.336,0.0,0.13,0.836,0.82,0.828
0.295,0.068,0.11,0.0,0.046,0.806,0.775,0.79
0.497,0.205,0.291,0.0,0.113,0.839,0.815,0.827
0.521,0.184,0.272,0.0,0.093,0.832,0.821,0.826
0.561,0.215,0.311,0.014,0.116,0.863,0.858,0.86
0.446,0.236,0.309,0.0,0.104,0.811,0.809,0.81
0.735,0.075,0.137,0.0,0.039,0.837,0.791,0.813
0.445,0.242,0.314,0.0,0.116,0.821,0.827,0.824
0.531,0.212,0.303,0.012,0.117,0.84,0.795,0.817
0.391,0.399,0.395,0.028,0.177,0.837,0.826,0.832
0.531,0.353,0.424,0.0,0.153,0.828,0.834,0.831
0.691,0.098,0.172,0.0,0.041,0.807,0.804,0.805
0.884,0.108,0.192,0.0,0.052,0.885,0.817,0.849
0.5,0.268,0.349,0.0,0.115,0.838,0.821,0.829
0.489,0.172,0.254,0.0,0.071,0.809,0.798,0.803
0.565,0.146,0.231,0.0,0.072,0.794,0.802,0.798
0.473,0.05,0.09,0.0,0.022,0.778,0.777,0.778
0.447,0.056,0.099,0.0,0.034,0.83,0.784,0.806
0.386,0.074,0.124,0.0,0.051,0.828,0.787,0.807
0.442,0.16,0.235,0.0,0.074,0.817,0.8,0.809
0.533,0.208,0.3,0.0,0.101,0.822,0.82,0.821
0.471,0.109,0.177,0.0,0.054,0.819,0.802,0.81
0.557,0.117,0.194,0.0,0.063,0.843,0.79,0.815
0.413,0.117,0.182,0.0,0.077,0.824,0.781,0.802
0.441,0.266,0.332,0.021,0.145,0.836,0.832,0.834
0.477,0.056,0.1,0.0,0.03,0.812,0.792,0.802
0.448,0.123,0.193,0.0,0.08,0.82,0.772,0.795
0.52,0.082,0.141,0.0,0.031,0.826,0.776,0.8
0.47,0.118,0.189,0.0,0.059,0.843,0.785,0.813
0.591,0.068,0.122,0.0,0.034,0.844,0.786,0.814
0.483,0.252,0.331,0.0,0.113,0.831,0.827,0.829
0.462,0.381,0.418,0.0,0.191,0.844,0.828,0.836
0.395,0.162,0.23,0.0,0.086,0.819,0.808,0.813
0.488,0.106,0.174,0.0,0.073,0.83,0.785,0.807
0.548,0.105,0.176,0.0,0.046,0.816,0.785,0.8
0.626,0.124,0.207,0.0,0.066,0.843,0.817,0.83
0.538,0.107,0.179,0.0,0.056,0.851,0.796,0.822
0.526,0.058,0.105,0.0,0.038,0.845,0.783,0.813
0.652,0.121,0.204,0.0,0.072,0.85,0.796,0.822
0.508,0.229,0.316,0.006,0.107,0.823,0.773,0.797
0.602,0.099,0.17,0.0,0.065,0.846,0.785,0.814
0.62,0.281,0.387,0.0,0.137,0.833,0.822,0.828
0.639,0.052,0.096,0.0,0.038,0.88,0.779,0.826
0.402,0.175,0.244,0.0,0.09,0.842,0.809,0.825
0.412,0.223,0.29,0.0,0.118,0.819,0.819,0.819
0.623,0.098,0.17,0.0,0.054,0.843,0.801,0.822
0.645,0.033,0.064,0.0,0.02,0.845,0.782,0.812
0.542,0.266,0.357,0.0,0.129,0.837,0.829,0.833
0.486,0.111,0.181,0.0,0.063,0.817,0.795,0.806
0.635,0.134,0.221,0.0,0.068,0.858,0.806,0.831
0.575,0.168,0.26,0.0,0.087,0.85,0.803,0.826
0.197,0.438,0.272,0.0,0.151,0.797,0.804,0.8
0.325,0.44,0.374,0.0,0.202,0.844,0.816,0.83
